c_value,n,mean_bitacc,std_bitacc,ci95_halfwidth
-10.0,200,0.8907682484388352,0.014430941909431845,0.0020000265090814066
-5.0,200,0.7365234586596489,0.021389338198266307,0.0029644110326769646
0.0,200,0.512259132117033,0.02037738986922308,0.0028241621496443003
5.0,200,0.3960612091422081,0.015572807368846862,0.002158280987754197
10.0,200,0.34822917699813843,0.014283687792402942,0.0019796181296784865
